id	mode	chain_id	step	location	country	latitude	longitude	typology	tags	image_id	source_image_url	local_image_url	image_url	text	sentiment	source_row	order_hint
windows-1	windows		image	Natal	BR	-5.805398	-35.2080905	window_photo	windows,image,photo	1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL	https://lh3.googleusercontent.com/d/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL=w2200	/images/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL.jpg	/images/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL.jpg			2	1
broken-1-image	broken	broken-1	image	Natal	BR	-5.805398	-35.2080905	window_photo	broken,image,window	1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL	https://lh3.googleusercontent.com/d/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL=w2200	/images/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL.jpg	/images/1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL.jpg			2	2
broken-1-text	broken	broken-1	text	California	US	36.7014631	-118.755997	unclear	broken,text,description,unclear					i can see a wonderful climate here.what is it means dark clouds are in day light.half of the place shadow cover and half of the place day is there.its nice to see		2	3
broken-1-drawing	broken	broken-1	drawing	Florence				drawing_response	broken,image,drawing	1ugMULj8ViZNKxwIT_DHq_VpmhaQQHL62	https://lh3.googleusercontent.com/d/1ugMULj8ViZNKxwIT_DHq_VpmhaQQHL62=w2200	/images/1ugMULj8ViZNKxwIT_DHq_VpmhaQQHL62.jpg	/images/1ugMULj8ViZNKxwIT_DHq_VpmhaQQHL62.jpg			2	4
windows-2	windows		image	Clemmons	US	36.0215258	-80.3819984	window_photo	windows,image,photo	10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA	https://lh3.googleusercontent.com/d/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA=w2200	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg			3	5
broken-2-image	broken	broken-2	image	Clemmons	US	36.0215258	-80.3819984	window_photo	broken,image,window	10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA	https://lh3.googleusercontent.com/d/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA=w2200	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg			3	6
broken-2-text	broken	broken-2	text	Newcastle upon Tyne	GB	54.9806082	-1.6478673	nature	broken,text,description,nature					GARDEN		3	7
broken-3-image	broken	broken-3	image	Clemmons	US	36.0215258	-80.3819984	window_photo	broken,image,window	10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA	https://lh3.googleusercontent.com/d/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA=w2200	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg	/images/10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA.jpg			4	8
broken-3-text	broken	broken-3	text	Orléans	FR	47.9027336	1.9086066	nature	broken,text,description,nature					Window,Trees,road,car		4	9
broken-3-drawing	broken	broken-3	drawing	brazil				drawing_response	broken,image,drawing	1i2s3p9wMPebWzzwZ1mSIpos2ldZBAJQd	https://lh3.googleusercontent.com/d/1i2s3p9wMPebWzzwZ1mSIpos2ldZBAJQd=w2200	/images/1i2s3p9wMPebWzzwZ1mSIpos2ldZBAJQd.jpg	/images/1i2s3p9wMPebWzzwZ1mSIpos2ldZBAJQd.jpg			4	10
windows-3	windows		image	Rockford	US	42.2713945	-89.093966	window_photo	windows,image,photo	16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh	https://lh3.googleusercontent.com/d/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh=w2200	/images/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh.jpg	/images/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh.jpg			5	11
broken-4-image	broken	broken-4	image	Rockford	US	42.2713945	-89.093966	window_photo	broken,image,window	16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh	https://lh3.googleusercontent.com/d/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh=w2200	/images/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh.jpg	/images/16d_y28K6xolcvGL9Fe2zhZsuqZ5xuMuh.jpg			5	12
broken-4-text	broken	broken-4	text	Rio de Janeiro	BR	-22.9110137	-43.2093727	street	broken,text,description,street					some cars next to each other		5	13
broken-4-drawing	broken	broken-4	drawing	Aldie				drawing_response	broken,image,drawing	1DQa5slbbf2r7XftDj-73C-mS0vBjeFmr	https://lh3.googleusercontent.com/d/1DQa5slbbf2r7XftDj-73C-mS0vBjeFmr=w2200	/images/1DQa5slbbf2r7XftDj-73C-mS0vBjeFmr.png	/images/1DQa5slbbf2r7XftDj-73C-mS0vBjeFmr.png			5	14
windows-4	windows		image	Los Angeles	US	34.0536909	-118.242766	window_photo	windows,image,photo	1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX	https://lh3.googleusercontent.com/d/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX=w2200	/images/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX.jpg	/images/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX.jpg			6	15
broken-5-image	broken	broken-5	image	Los Angeles	US	34.0536909	-118.242766	window_photo	broken,image,window	1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX	https://lh3.googleusercontent.com/d/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX=w2200	/images/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX.jpg	/images/1U5pNeJNxwB_6er9P0YQetOGH8zs5qrUX.jpg			6	16
broken-5-text	broken	broken-5	text	Louisiana	US	30.8703881	-92.007126	water	broken,text,description,water					I SEE THE SEA AND HUGE BUILDINGS(CITY) AND ALSO SOME SHIPS.		6	17
broken-5-drawing	broken	broken-5	drawing	Cagliari				drawing_response	broken,image,drawing	19cpvbMAleJ-XXUBubL-W4fS3RJN0saPt	https://lh3.googleusercontent.com/d/19cpvbMAleJ-XXUBubL-W4fS3RJN0saPt=w2200	/images/19cpvbMAleJ-XXUBubL-W4fS3RJN0saPt.jpg	/images/19cpvbMAleJ-XXUBubL-W4fS3RJN0saPt.jpg			6	18
