"Informazioni cronologiche","Upload a photo of the view from your window","In which city do you live?","Insert your Worker ID"
"2022/06/13 9:24:30 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1_0tDrMOlVp3lrr4VuFOq9_OPwoiGsAVd","INDIANAPOLIS","A1SAAR4KRNSLKQ"
"2022/06/13 9:26:47 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1R1-5apuJfuIW1xV9X1knYdOFLwVmqQHu","Goianinha","AJ72AZV1YBLVW"
"2022/06/13 9:33:49 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1JVy6R6vgXn9fQaOq4UGhvGNMVXy1wCGp","Quitman","A1NIKHUA79SWGD"
"2022/06/13 9:53:58 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=10RQ8etRYdmzdPgDYltWY3LQ1UumWJfpA","clemmons","ATIVK9XUANIUE"
"2022/06/13 9:57:58 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1hDgJ9Io0eLyIoTxUdrOJPxhebif4NAj9","Roslyn, NY","A32JMKV7ZA8J13"
"2022/06/13 9:58:27 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Jcv8JfeDSVlFFanoIAivMxs9QCRfL8-P","Colorado Springs Co","A360F1KST9DVO5"
"2022/06/13 10:00:16 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1VS5ncREkYjFLyK93B8hrvw0XMe2tZFPV","Morgantown","A2K0L9M1ZZO5C9"
"2022/06/13 10:03:38 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1c_u3___sjhom0k_AIbpmYCPaEB43PUQl","Kansas City ","Aj6riaki97ymg"
"2022/06/13 10:03:40 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1xFDD1FUUuvm7LYu9yyBCo8oN7vH9DD9Y","Mexico City","A1Y5CPW8HV29B1"
"2022/06/13 10:04:20 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1-Jotd2Ei9VWt0Dcim8AvzPHxJeZMqu3X","San Francisco","A2587JRTCPY3UD"
"2022/06/13 10:05:18 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1oTu39Gz4hf-lkg7zecotQH59yu-txPTV","St Louis","A173A97OFDAX9F"
"2022/06/13 10:06:42 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1OQ2fw9kCRWGYVK6kOTc98Ke1De4tfmg8","Overland Park KS  ","A3HSFRJPM3E89Z"
"2022/06/13 10:09:27 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1xOXhhnhZ_T-in9h27G80i-IKIVFrdAVf","Vancouver, WA","A1FG2G9TZSDN"
"2022/06/13 10:11:00 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1RVLIyy3l9ULD7kQs0shFl0blDKojzx-x","toronto","A4D99Y82KOLC8"
"2022/06/13 10:14:51 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1qo3qGN8p2SHQglJIq71A7_wdudcOWASy","Oakland, CA","AES1QQM0XO6EN"
"2022/06/13 10:17:32 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=11nRchbVeSRgz5qdiT0HFL8Yoo1951lz6","Ontario ","A2JTY0C728FRJN"
"2022/06/13 10:22:31 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1u3A8twUC_MlAnDQnbxlW0bMWOk1aRJ2I","Ignace","A1U434E9MIR77T "
"2022/06/13 10:24:12 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1a8J6CMYQgqrmcKKEs08aHEQVYKaiQoWS","LOS ANGELES","A3A590W83QQKBS"
