time,photo,city,id
05/04/2024 8.39.37,https://drive.google.com/open?id=1mMEW7Kih8k5ln-m-Foh4-ec-vYjbcvP0,USA, A3N5N5T3ELXYS9
04/04/2024 18.44.08,https://drive.google.com/open?id=1Hd25TMm_3H9wYf2Py1dXB-oEGWjiNWKb,Albuquerque ,A103BJIOJSDJL1
04/04/2024 21.22.36,https://drive.google.com/open?id=1meCbYYZnwAjfP2XHGvDuwpBkx7FmzEmQ,Suffern,A10T6CMHHYBUPD
05/04/2024 12.51.42,https://drive.google.com/open?id=1KWDdFDNd8Psjl1gIqBboQ3XVTTHwSRzJ,Delhi,A13UC3O0593CKC
04/04/2024 22.30.04,https://drive.google.com/open?id=1P4N3Dah6XXRJbm72zY3cqm-6v_H_1UzB,London,A14H87GJAEJGV0
04/04/2024 19.23.14,https://drive.google.com/open?id=1j9bRoywvksKbuFMY3DfG2PDOQIgIEHxY,"Portage, WI",A15N4VW2HOYJ02
05/04/2024 6.41.44,https://drive.google.com/open?id=10lF6MQvoF-J7dqlnAnHtyk7m9cA75SgF,okanada,A16G48QLSKM2NR
04/04/2024 20.16.13,https://drive.google.com/open?id=1ye3DMqlFNdJjPNf_1JmOLYZWA-kQuGDd,Austin,A16KRBQ6FUO5JT
05/04/2024 0.37.14,https://drive.google.com/open?id=1I7H1k3wUQJScBlpctF0fQ90-hMGfWSTp,Iowa City,A17G1YDR439OSB
05/04/2024 0.03.00,https://drive.google.com/open?id=1ct8BxU8xKZjLC6CrS7RURzTm3vtYdeX_,Rio de Janeiro,A17IPBQRGLN7EO
05/04/2024 0.32.29,https://drive.google.com/open?id=1gGbaM18kcBqRYtC_EFuwbrAPSrgyRBEg,St. Augustine,A1EDN55K4IF2GD
04/04/2024 20.27.36,https://drive.google.com/open?id=1wGt6hLoB-ew1AtR9GUAL8d_zAnLvRh4S,Holyoke,A1FFG2OYN5RVGL
04/04/2024 20.28.07,https://drive.google.com/open?id=1UYDrElbBrcfK2G4G4SmWyJ9CZQclxFpw,01040,A1FFG2OYN5RVGL
05/04/2024 10.09.21,https://drive.google.com/open?id=1vn1dsJZ2zqR7jGDRftDsCBCuTXttf1_Q,Lawrenceburg ,A1HN1B1YKEKFNY
05/04/2024 8.24.11,https://drive.google.com/open?id=1Zku8sO05xSgcZHJ67JTzGjU-GhbPcYP2,usa,A1M234VY1X0W89
05/04/2024 0.08.23,https://drive.google.com/open?id=1EA8RqRvK0HmJPxjY2G0fMZ2Ibz1ehKXE,pereira,A1M2NBFB7EX8I0
04/04/2024 21.24.02,https://drive.google.com/open?id=1WrYaQXnD26-IoVpG235ZKqy5sAQYm4Uu,california,A1MI4O4TO3YP3M
