"WorkerId","AssignmentStatus","Answer.city","Answer.description","Answer.sentiment"
"AHV4U78TUUDKI","Approved","Palm Springs, CA USA","I like the work - its relatively easy to do and I can do it on my time. My main issue is having the work available when I have time to do some of it. There are times where there are few HITs to do and its frustrating and a little angering to be honest.","4"
"AVOF14300525D","Approved","Lima, Ohio","I really liked AMT years ago when I first started working for them. However, over the last year or so, this platform has really gone downhill. The hits are not worth my time. Sometimes they only pay a penny or so for work that is over five minutes long! Also, the rejecters seem to randomly reject work. I recently spent about 8 minutes explaining my response to a chatbot conversation, only to get rejected. I have no idea what they wanted. I have a master's, so I can get some good hits. However, these unfair rejections are really starting to add up, and I am worried I will lose my master's status once my rejection rate goes below 99%. What really hurt my rate was a ""mass rejection"" of 10 hits. It turns out that there was a glitch (I read it on MTURKOPTICON), but they would not reverse the rejections. That was so unfair when it was their fault.","2"
"A22KRF782ELLB0","Approved","Murray, KY","I like that I'm able work from home and not have to interact with other people, which helps since I have severe social anxiety. I dislike that the pay is very low. I also dislike that there aren't as many jobs/tasks being posted now as there were a few years ago, which makes it even more difficult to do it for income. The income is also not consistent, so you never really know how much you'll make in a given day or week.","2"
"A2UO3QJZNC2VOE","Approved","Knoxville","I like that there is a place like this to be able to earn some extra money. I have been on here for almost 15 years and I would imagine that I will always use the service. So I like all of that. I wish there were more hits I qualify for sometimes, and that there was a better way to qualify for things. I am not sure how what else to say.","4"
"AUOYNTK0GOFOM","Approved","Lawrence, KS","I value that i get insight into a hige huge variety of important studies and therein I learn some new things. Also, the extra money helps me a lot so overall I'll be positive about M-Turk. It's helped me a LOT over quite a few years by now.","5"
"A33TFZWRGY3ASF","Approved","Salem","I am very happy to work with Amazon Mechanical Turk. I like to do hits lots. AMT is full fill my earnings is good. Amazon Mechanical Turk give lot of hits in future. now number of hits are very low quantiry","5"
"AYCCX9AQMYUY8","Approved","madurai","I once tried making some extra spending cash for my christmas shopping on Amazon and religiously visited the site multiple times a day, grabbing whatever I could and at the end of 3+ months, all I was able to amount to was ~$150. Not a good use of my time, if you ask me. I have better things to do in the time I invested in this thing.","5"
"A1GKEEI844CEKI","Approved","Shelby NC","It has gotten slow over the past three years.  Not as many jobs.  it use to have a lot more.  I could make 300 a week then but now it is much less than that.  I also think the AI devolplment is about done.","4"
"A2EI075XZT9Y2S","Approved","Pittsfield, NH","Lacks any ability to truly hold requesters accountable. For the pay they offer, to unreasonable rejections. Amazon plays no role in defending the worker and leaves it up to us to just deal with it. Can try sending messages to requesters but often ignored. That includes wasting an hour on work to have it crash due to the requesters faulty software.","2"
"ADAGUJNWMEPT6","Approved","Gretna, Louisiana","I like it well enough to have been doing it for more than 15 years, but it does have some real annoyances.  I don't like that bots are allowed to scrape HITs.  I don't like that there is no real repercussion when requesters have design flaws that waste worker time (like surveys with no confirmation code--this happens a LOT).  I also get annoyed that there is sometimes not enough work to do.  Overall, though, I find it a convenient way to supplement my income at times that work for me.","4"
