sentiment	text	city	Latitude	Longitude	id
4	I like the work - its relatively easy to do and I can do it on my time. My main issue is having the work available when I have time to do some of it. There are times where there are few HITs to do and its frustrating and a little angering to be honest.	Palm Springs, US	33.772179449999996	-116.49529769683983	AHV4U78TUUDKI
2	I really liked AMT years ago when I first started working for them. However, over the last year or so, this platform has really gone downhill. The hits are not worth my time. Sometimes they only pay a penny or so for work that is over five minutes long! Also, the rejecters seem to randomly reject work. I recently spent about 8 minutes explaining my response to a chatbot conversation, only to get rejected. I have no idea what they wanted. I have a master's, so I can get some good hits. However, these unfair rejections are really starting to add up, and I am worried I will lose my master's status once my rejection rate goes below 99%. What really hurt my rate was a "mass rejection" of 10 hits. It turns out that there was a glitch (I read it on MTURKOPTICON), but they would not reverse the rejections. That was so unfair when it was their fault.	Lima, US	40.741735	-84.1156539566922	AVOF14300525D
2	I like that I'm able work from home and not have to interact with other people, which helps since I have severe social anxiety. I dislike that the pay is very low. I also dislike that there aren't as many jobs/tasks being posted now as there were a few years ago, which makes it even more difficult to do it for income. The income is also not consistent, so you never really know how much you'll make in a given day or week.	Murray, US	36.6103334	-88.314761	A22KRF782ELLB0
4	I like that there is a place like this to be able to earn some extra money. I have been on here for almost 15 years and I would imagine that I will always use the service. So I like all of that. I wish there were more hits I qualify for sometimes, and that there was a better way to qualify for things. I am not sure how what else to say.	Knoxville, US	35.9603948	-83.9210261	A2UO3QJZNC2VOE
5	I value that i get insight into a hige huge variety of important studies and therein I learn some new things. Also, the extra money helps me a lot so overall I'll be positive about M-Turk. It's helped me a LOT over quite a few years by now.	Lawrence, US	38.9719137	-95.2359403	AUOYNTK0GOFOM
5	I am very happy to work with Amazon Mechanical Turk. I like to do hits lots. AMT is full fill my earnings is good. Amazon Mechanical Turk give lot of hits in future. now number of hits are very low quantiry	Salem, US	44.9391565	-123.033121	A33TFZWRGY3ASF
5	I once tried making some extra spending cash for my christmas shopping on Amazon and religiously visited the site multiple times a day, grabbing whatever I could and at the end of 3+ months, all I was able to amount to was ~$150. Not a good use of my time, if you ask me. I have better things to do in the time I invested in this thing.	Madurai, IN	9.9261153	78.1140983	AYCCX9AQMYUY8
4	It has gotten slow over the past three years.  Not as many jobs.  it use to have a lot more.  I could make 300 a week then but now it is much less than that.  I also think the AI devolplment is about done.	Shelby, US	35.2923513	-81.5356463	A1GKEEI844CEKI
2	Lacks any ability to truly hold requesters accountable. For the pay they offer, to unreasonable rejections. Amazon plays no role in defending the worker and leaves it up to us to just deal with it. Can try sending messages to requesters but often ignored. That includes wasting an hour on work to have it crash due to the requesters faulty software.	Pittsfield, US	43.306193	-71.324615	A2EI075XZT9Y2S
4	I like it well enough to have been doing it for more than 15 years, but it does have some real annoyances.  I don't like that bots are allowed to scrape HITs.  I don't like that there is no real repercussion when requesters have design flaws that waste worker time (like surveys with no confirmation code--this happens a LOT).  I also get annoyed that there is sometimes not enough work to do.  Overall, though, I find it a convenient way to supplement my income at times that work for me.	Gretna, US	29.9146493	-90.0539604	ADAGUJNWMEPT6
4	despite some drawbacks; finding out about m-turk is one of the best things that has happened to me.  when i had a job,m-turk earnings were an excellent source of secondary income. now that i am retired, m-turk income, combined with my social security and pension provide me with a relatively comfortable living although i am far from wealthy.  i can do m-turk hits whenever i want; i don't have to worry about my wardrobe; no one is telling me what to do or how to do it.  i like that my approval rating is 99.89 because that tells me i'm doing almost all hits the way they are supposed to be done.  i don't like however, that too many requesters don't seem to know the best ways to produce hits. for example, too many requesters do not allow enough time. these requesters apparently don't know that once time has expired, it can not be extended.  the rates of pay some requesters offer are absurd.  for example, 10 cents for a 10 minute hit.  that is far from acceptable.  when the time that a hit is supposed to take is not even listed.  for example, i might be willing to do a 25 cent hit but i need to know how long the hit will take.	Undefined, US	43.4911326	-74.9481252	A1S88VQY8G8CNC
3	It's an easy way to earn small amounts of money. I've been doing it for about 13 years, and it helped me pay off my mortgage. On the downside, though, the work can be difficult to find and some of the HITs are tedious.  Amazon doesn't support Turkers at all and so we're pretty much at the mercy of anyone who wants to scam us, steal our work and not pay us.  The work is so variable - definitely feast or famine - and I'm glad I don't rely on it for anything important anymore.	Saint Paul, US	44.9497487	-93.0931028	AKX5RHHO8BIUX
1	it is very good platform, it is very helpful to change my life, now a days hits are very low, my finiancial problem critical, please give some more works.amt is very nice and honesty earning	Undefined, IN	10.9301522	78.08485454572889	A3CJVRJ34U70Y9
4	I like the opportunity to earn money from completing HITs on Amazon Mechanical Turk. I particularly like the academic surveys. I dislike the HITs with very low payments. I dislike when there are a large number of HITs from the same requestor instead of listing all of these HITs under a single post.	Undefined, US	40.2414952	-75.2837862	A26ZENZ5G8AEGM
3	I like the platform when things are working and the work is paid.  Unfortunately, there are some hits that reject hits for no reason and we have no way to dispute the issue.  I understand there are millions of hits yearly but if a requestor is being deceitful or has a really low acceptance rate there needs to be an investigation and workers should be made whole.	Undefined, CA	53.5193105	-114.1385071	A2J65ZHAJQDKAC
3	On one hand, mturk changed my life. I have C-PTSD and find public places too noisy and stressful. I was on the verge of becoming completely homeless but went back to working on here (I previously worked a lot on here when in college but then took a break). It now gives me a chance to earn enough money to survive. On the other hand, it's a terrible way to make a living. It's not stable and can be stressful. I have found that working on other platforms and bouncing back and forth between them helps so there isn't as much down time waiting for work.	Denver, US	39.7392364	-104.984862	A205YOMVOVCUY4
5	I love this platform. It gives me the opportunity to make a little bit of money whenever I have time. I feel I have input in social issues when filling out surveys.	Tucson, US	32.2228765	-110.974847	A2WMSIPUKEIBNS
4	This is a good platform to earn and learn different techs, gigs, business and more... I have not experience such vast knowledge in short time	Undefined, GB	54.7023545	-3.2765753	A3IX2RFQDOXLPS
5	I start work for last 25days iam working for this site. its good platform for college student earning this site.	Radcliff, US	37.8710241	-85.9613468	AA4SXPCHTWEP3
5	Honestly , it is an awesome place to work for a freelancer . There are many workplaces for a freelancer but amazon mechanical turk is the best place. I like the display of the site . Also , there are many options for work too	Boligee, US	32.7559654	-88.0289072	A2YTSCNCWRY6SM
5	My feelings are inspired and sympathetic to help requesters with there daily lives as well as earn money.  This is a win-win situation for workers.	Springfield, US	39.7990175	-89.6439575	A2EIIVAAENPBSA
5	"Honest feelings are authentic expressions of one's true emotions, devoid of pretense or fabrication. They stem from the depths of one's being, reflecting sincerity, transparency, and genuine connection with oneself and others."	Undefined, US	39.7837304	-100.445882	A3VBS1Z3AL0NS7
5	Its a ver excellent platform i never used before. this platform gives to validate so much of participant opinion about verious human intelligent tasks, like surveys and data annotations and receipt entry and audio transcriptions. Awesome way to get more earnings	Undefined, CA	49.1344098	-105.013041	A1GXPHCICBEJZL
5	I am interested in working at amt.genova.it because it is a leading organization in the maritime industry and I believe that I can contribute to its success. I have the necessary skills and qualifications for the job, and I am eager to use my skills to contribute to the organization's success. it is a great company with a lot of opportunity for growth and development. Good luck with	Melvindale, US	42.2825383	-83.175203	A2E5578HI0Z7GM
1	can be a great source of extra income for those with full-time or part-time jobs.Here's what I learnt from my experience as an MTurk worker: 1. MTurk workers do not earn much money and the site made it impossible to figure	Undefined, US	39.7837304	-100.445882	A1GEPBS34FVGZT
5	Amazon Mechanical Turk is a great platform for me. Presently, I maintain 97.84% and  45,632 approved hits. So when I work consistently, I can earn 10$ per day for 8 hours. But nowadays I don't get more hits. I don't know the reason.  Anyhow I am happy while working in this platform. Thank you MTURK..	Coonoor, IN	11.344238	76.8016516	A3I9CPE69O3INJ
5	I very much like this platform...actually i working here for the last 14+ years...i will get pocket money from this platform. Only one disappointment is the revenue from this platform decreasing every year...hope more works will come to this platform	Kollam, IN	8.8879509	76.5955013	AT0BMZVMLTUSZ
5	Amazon Mechanical Turk platform can be a valuable tool for businesses looking to outsource small tasks, but it's important to offer fair pay and clear instructions to attract quality workers.	Undefined, KY	19.703182249999998	-79.9174627243246	A235KE69PXY8F5
4	Yes I generally love Amazon Mechanical Turk platform due to the fact that it has enabled me get earn extra income; something that I initially lacked. I am also more engaged with no time to idle and have negative thoughts. But I also have my own misgivings about the platform. Some requesters pay so little yet demand so much. Additionally, there are times when there are little to no work on the platform.	Dallas, US	32.7762719	-96.7968559	A3BGT9U8N01FU1
3	I'm a very shy and introverted guy, this job helps me a lot. I have the possibility to choose the task that I am able to perform in order to create difficulties for myself. I thank those who put me in this job. free hours	London, GB	51.4893335	-0.14405508452768728	A3DW70C8KQRYZW
4	I am happy with Amazon Mechanical Turk as I can choose the tasks and also when to work, but I would like to have more quality tasks and also more stable tasks, so you can pick tasks to do periodically.	Sant Cugat del Vallès, ES	41.4728432	2.0817809	AQEQYPRNQ63U6
5	I am very satisfied and happy with Amazon Mechanical Turk .I am very happy to be a part of Amazon Mechanical Turk and earn a good amount of money from here. I also learn a lot of things from this platform. This is a very helpful platform for earning and learning .	Hercules, US	38.0171441	-122.2885808	ATE35U2JY1X8C
4	Yes I like it. I can get extra money from AMT. However, I wish to know more about the qualifications I cannot afford. Today I can only access to few hits but there are so much more I would like to do.	Undefined, US	36.7014631	-118.755997	ACIWAD2PH9H7K
3	I can do it on my own time. I don't have a boss, I can do it from home. The pay is low, and there's some just BS stuff that you have to wade through(like some surveys that pay virtually nothing for half an hour). I mean, I'd be better off doing part-time work at a real job, but its still money.	Green Bay, US	44.5126379	-88.0125794	A1TB0RWVFP2LCI
4	I am interested in working at amt.genova.it because it is a leading organization in the maritime industry and I believe that I can contribute to its success. I have the necessary skills and qualifications for the job, and I am eager to use my skills to contribute to the organization's success. it is a great company with a lot of opportunity for growth and development. Good luck with	Raleigh, US	35.7803977	-78.6390989	A2SHP4YN6PUA92
5	To be quite honest, I think that working on the Amazon Mechanical Turk Platform is a great way to relieve stress and improve my finances. The AMT work questionnaires regarding gaming and family matters are my favorites. To be honest, I think AMT's work is fine. My daily life is nice, but in one terrible circumstance, I am completely destroyed. Amazon Mechanical Turk was incredibly useful at the time. I have always enjoyed and cherished AMT work. I consider my work as an AMT to be really unique.	Daytona Beach, US	29.2108147	-81.0228331	A3TSNJGVTSTP3
5	AMT platform is very good platform. Its very secure. AMT is very quality workers because our goal is very high ,every one interest to work the AMT and AMT is the give the quality job offers. yes, I would like the AMT. I interest to work the AMT because its very good and secure.	Modesto, US	37.6390972	-120.996878	A3LHY9DZGDVCCM
4	I like working on the Amazon Mechanical Turk Platform. It's a good way to earn some extra funds, though I do wish there were more higher paying surveys I could sign up for. The qualification process seems very random and there is no explanation or way to increase your qualifications short of requesting qualifications.	Groveton, US	31.0549071	-95.1257691	A3914UJVV2ICEC
1	Yes, Amazon Mturk has started accepting non-US applicants sometime back in mid-2016. Although getting accepted as a worker totally depends on ...	Undefined, US	39.7837304	-100.445882	A1GBQ3RWKCHIYB
3	Amazon Mechanical Turk HIT jobs can be a great source of extra income for those with full-time or part-time jobs.	Undefined, US	36.7014631	-118.755997	AYTV3O8YNM4AH
4	I find it to be a fascinating way to earn extra money. Admittedly, I'm still try to learn the best way to navigate and become qualified for tasks. There is a learning curve to using this platform and it's not always user friendly, but I do believe it's worth it.	Lexington, US	38.0464066	-84.4970393	A3HNF9NE74BG8B
5	"Honest feelings are authentic expressions of one's true emotions, devoid of pretense or fabrication. They stem from the depths of one's being, reflecting sincerity, transparency, and genuine connection with oneself and others."	Undefined, US	39.7837304	-100.445882	A29VK7OT9MGZ1N
3	It's easy to navigate but low response in qualification request. Would continue to work on hear but look forward to better support in qualifications and areas outside US.	Bristol, GB	51.4538022	-2.5972985	A1ILUCLYCU2894
5	I have been doing hits in AMT for the past ten years. Its looks good and easy to work in this platform. And now we need more hits to work. Nowadays there is very much less hits in this AMT. So kindly we request your team to have more hits.	Undefined, IN	10.91564885	79.80694879844232	A2KANCG6BVWYRE
5	I LOVE TO WORK WITH AMAZON MECHANICAL TRUNK WHICH MAKES ME COMFORTABLE TO WORK WITHIT. I CAN EARN MORE.	Undefined, DE	51.1638175	10.4478313	A256XLNIVVLQ6U
3	Many of the task require several steps to complete for little money. For example one hit ask several questions about a business and requires you to do a lot of research through several documents and websites to answer the questions and only pays .01 per hit which isn't worth the time involved to complete it.	Frankfurt am Main, DE	50.1106444	8.6820917	A1HN1B1YKEKFNY
5	Amazon Mechanical Turk HIT jobs can be a great source of extra income for those with full-time or part-time job	Undefined, US	36.7014631	-118.755997	A3FVTYM0D5BA65
3	I like the Amazon Mechanical Turk platform, for the most part anyway. There are a lot of tasks available, but most I don't qualify for for various reasons. However, the ones I do qualify for are generally pretty simple. I do wish some of them paid a little more. I work on AMT to earn a little extra money.	Peachtree City, US	33.3975472	-84.5898256	A2UTSU4S30JXBB
5	AMT is a very good platform, because its makes  the job oppourtunities for everyone. The good point of AMT is its makes our general skills,knowledge. I would like more AMT. I intrested to work the AMT becauseits very seure and neetful its tread respectively ,so i would like to worlk the AMT	Shafter, US	35.501461	-119.273682	AFDGQ908EIFEB
3	Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.	Undefined, US	39.7837304	-100.445882	A1RYT6Z1HG3L2F
5	I love working on AMT. This is my best job and I can learn new things. I learn a new poison with each survey. I get my employment income and confidence in it.	Undefined, US	43.6447642	-114.015407	A2P4T2ZJJKFBX
4	At first when I signed for mechanical turk I didn't know what to expect and it took me a while to really know how it works and I've been happy with my experience now that i know how it works, I most work on copy and paste tasks and product review surveys.	Undefined, NA	-17.509268849999998	24.275896638027227	A2KI7FYSSKALOQ
5	Working on the Amazon Mechanical Turk Platform has been both financially beneficial and stress-relieving for me. I like the AMT work survey on gaming and the family-related polls. To be honest, I enjoy AMT's work. My daily life is going OK, but one awful circumstance has completely devastated me. Amazon Mechanical Turk was really useful at the time. I've always like and valued AMT work. I believe that AMT job is unique in my life.	Johnson City, US	36.3134398	-82.3534728	A3PQG0QAALNXCA
5	This used to be a more reliable platform, but Amazon's mturk team is dedicated to making things worse for both the worker and the requester. There's not much of a reward for diligence, and you can randomly be punished with no form of adequate recourse	Undefined, US	36.7014631	-118.755997	A3AL2W0OZSYIY5
5	AMAZON MECHANICAL TURK PLATFORM WORK IS GOOD ITS A PART TIME JOB AND EARINGS ALSO GOOD .SO LIKE THIS JOB AND IMPROVE MY KNOWLEDGE ALSO	Dallas, US	32.7762719	-96.7968559	A14HQ959VJGKE8
5	As per my opinion Amazon Mechanical Turk platform is the best earning platform all over the world. In this platform various type of segment available to work and work rewards also very justified and on time.	Midwest, US	43.411391	-106.280075	A2MFVT81B9LBFQ
5	"Honest feelings are authentic expressions of one's true emotions, devoid of pretense or fabrication. They stem from the depths of one's being, reflecting sincerity, transparency, and genuine connection with oneself and others."	Undefined, US	39.7837304	-100.445882	AHX4W473FN5US
5	AMAZON MECHANICAL TURK PLATFORM IS GOOD FOR ALL TYPE PEOPLES BECAUSE EASY TO UNDERSTAND AND EARINGS MUCH BETTER FOR OTHER PLATFORM WORKS	Fort Wayne, US	41.0799898	-85.1386015	A1PMFZSDFNP2FX
1	Mturk is no longer what it should be! It would be desirable, to stop this mess and horrible discrimination, called "master qualification", and to give equal chances to all mturk workers to participate in mturk studies! It is a shame that while we brag about democracy, we still use such discriminatory practices! Do you think that a "master" is smarter or more intelligent than a "non-master"?	Ashburn, US	39.0437192	-77.4874899	A1PHDT66U6IK4Q
3	I like the work on AMT it is usually very fun. When I first started there were a lot more HITS and chances of making money. Now there are very little HITS and the money is the PITS. This used to be a nice place to make some extra money each week from the comfort of your home.	Millington, US	35.3414745	-89.8973084	A2KWGCHV2FILJO
5	Earning money through the MTurk web site is as easy as searching for HITs on the site, accepting those HITs, completing them, and collecting the reward once the HIT is approved by the Requester.	Undefined, US	31.2638905	-98.5456116	A1M2KMKJXK2EPU
5	I have been doing mturk for 11 years now and although it started out with making a few dollars I am glad that I stuck with it. I am now a master with over 300,000 hits done and I sit with a pretty 99.8 approval rating	Readfield, US	44.3878453	-69.9667188	A36H3PO6JZD414
5	AT FIRST I WORK ON AMAZON MTURK FOR MONEY .BUT LATER I LIKE IT VERY MUCH TO WORK IN IT .WHENEVER I WORK ON MTURK I LEARNED SOMETHING NEW.	Madurai, IN	9.9261153	78.1140983	A1R5B8KT4EIIKB
4	Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.	Undefined, US	39.7837304	-100.445882	A1479AT5P7CBRN
5	My experience as an MTurk worker was intense, full of surprises, not all of which were pleasant. Here’s what I learnt from my experience as an MTurk worker:	Undefined, US	39.7837304	-100.445882	A3CFVTY0L7CBWZ
5	Yes I love to participate in research studies and the tasks available on MTurk. However I am hoping for the day I get to work on the more specialized tasks when I am approved for it.	Carlinville, US	39.2797699	-89.8817662	A296QHISHGA73J
5	I am interested in working at amt.genova.it because it is a leading organization in the maritime industry and I believe that I can contribute to its success. I have the necessary skills and qualifications for the job, and I am eager to use my skills to contribute to the organization's success. it is a great company with a lot of opportunity for growth and development. Good luck with	Undefined, AL	41.000028	19.9999619	A2Z4SX6MOPIZUZ
3	There are some significant issues with AMT. On the survey side, HITs with equitable rewards are few. When it comes to the platform itself, there are multiple design issues.	Eugene, US	44.0505054	-123.0950506	A2AO9UZ0P1VH9O
4	I like Amazon mturk. Because it has flexible work time. I have resigned from my current job and studying programming for a career switch. So mturk gives me an extra income while I am studying. What I didnot like is it has only few tasks available for me. I barely get about 30$ per month which is not enough for me.	Thrissur, IN	10.5270099	76.214621	A3KGEDVFYPH8GM
5	During lockdown ,i was in home without my job, that time mturk support me lots in earning, from pas 10 years i am doing this mturk job,it was very genuine and good in paying. In my life Mturk having a major part in earning. I am gratitude for that.	Coimbatore, IN	11.0018115	76.9628425	A36VE0W154IHO7
4	This is easily make earning If I need something amazon I can easily buy that from gift card and I can sit for work anytime so I like it and I can easily do two jobs so I love it. and now a days get slow works so I get sad. Please solve this issue.	Concord, US	43.207178	-71.537476	A3HV2O8RFG33BA
5	It's a Good and useful Platform.I'm Very Happy About Amazon Mechanical Turk platform and I love to work in it.	Odenville, US	33.6773237	-86.3966481	A1PXQV8LSQAWGQ
5	Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.Overall, Amazon Mechanical Turk can be a cost-effective and efficient way to outsource data entry tasks, but it also comes with some limitations related to quality control, security, and control over the workers completing the tasks.	Undefined, US	39.7837304	-100.445882	AYM5NR2ZEGLEZ
3	Many of the linkes are broken and it makes it frustrating to find work when you are new and not qualified for many jobs.	Roseville, US	38.7521235	-121.2880059	A3C5NCY9MGQ3A6
5	I am very happy about mturk because i am earning some decent income which will take care of my additional expenses. Sometimes, i might get huge amount survey. I am working in mturk for the past 12 years and felt very happy on it	Erode, IN	11.3306483	77.7276519	A3TKUXUTDX6FBF
5	I am interested in working at amt.genova.it because it is a leading organization in the maritime industry and I believe that I can contribute to its success. I have the necessary skills and qualifications for the job, and I am eager to use my skills to contribute to the organization's success. it is a great company with a lot of opportunity for growth and development. Good luck with	Undefined, US	31.2638905	-98.5456116	A1LQJ9F54LQGI9
5	I really like the Amazon Mechanical Turk platform because through some pleasant, pleasant and interesting tasks, in addition to earning something it allows you to learn new things and learn new topics that perhaps you would know nothing about. I discovered the platform by chance, browsing the internet and it was a pleasant discovery.	Roma, IT	41.8933203	12.4829321	ADFNJKG7WPUX2
4	I like Amazon Mechanical Turk because it provides me a way to make an additional income. I don't like that in order to make a reasonable amount of money that I have to login during the day sporadically to check for new HITs. It would be nice if I could work on those HITs later at night. The work is hit and miss sometimes and not very reliable.	Fuquay-Varina, US	35.5843849	-78.7998691	A1QWQI2ZV6TFOB
5	I really enjoy working on AMT. It gives me an extra source of income and I can work anytime from anywhere.	Guwahati, IN	26.1805978	91.753943	A9WHHKH0HKTOM
2	my feelings are mixed. it nice in that I can work on it my time, a simple way to make a bit small earnings, and relatively easy to use. the other, the MTURK and surveys has multiple flaws, sometimes the time/payouts are not fair. and the overall experience is getting worse from a couple of years ago.	Washington, US	38.8950368	-77.0365427	A2T76WC6F2XW6N
5	I love it. I like to do surveys and this site offers the most diverse selection of surveys on so many different subjects. They make it so easy to return a survey if you determine it is not for you. I like the way they keep track of your earnings and how many surveys you have completed.	Columbia, US	34.0003117	-81.0331309	AGN2WNWU7JSYF
5	Amazon Mechanical Turk platform is genuine, Flexibility, Income Potential, Task Quality, Fairness and Transparency, Communication and Support, Longevity and Stability	Nellore, IN	14.4493717	79.9873763	A3PVJNCAPNCO2E
1	Good opportunity for this work. I have great experience of this amazon mechanical turk platform.Amazon Mechanical Turk usefull to us .	Undefined, US	39.7837304	-100.445882	APW6NTOIMF3BH
5	Working on the Amazon Mechanical Turk Platform has been extremely beneficial to my financial well-being and stress relief. I like the AMT job survey on gaming and family-related questionnaires. To be honest, I do not dislike AMT's work. My everyday life is excellent, but in one unpleasant event, I am completely broken. Amazon Mechanical Turk was very useful at the time. I have always enjoyed and appreciated AMT work. AMT work holds a particular place in my heart.	Miami, US	25.7741728	-80.19362	ACZLEW8JE4L7E
5	I love working at Mturk..because new surveys come here.  I can learn many things from those survey.. It gives opportunity to do something good   .	Kolkata, IN	22.5726459	88.3638953	AI7B82OSX87GD
4	I enjoy working on this platform. I only work in my spare time, I do not depend on income from this site to pay bills. I use it as a time killer that, as a bonus, pays me cash	Columbus, US	39.9622601	-83.0007065	A2N86S1MAMJLCX
4	I like it, though wish the hits i'm qualified for don't disappear so fast.   Its frustrating to click on a hit for it to immediately not be available.	City of New York, US	40.7127281	-74.0060152	AT6TEU8VYTR
4	As per my opinion Amazon Mechanical Turk platform is the best earning platform all over the world. In this platform various type of segment available to work and work rewards also very justified and on time.	Tallahassee, US	30.4380832	-84.2809332	A328Z2N5OQRU1T
5	Amazon Mechanical Turk allows businesses to outsource data entry tasks at a lower cost than hiring full-time employees	Undefined, GB	52.3106138	-0.8659129831915817	APW98C36SAY3Y
4	I think it's fun, and have been doing it since 2016.  It doesn't pay very well, but it pays for all the books I need for my Kindle (and then some).  I can do it whenever I want, and decide which jobs I want to accept.  Some are very interesting, while others can actually be quite lucrative.  Working from the comfort of my own home gives me the maximum flexibility.	Kansas City, US	39.100105	-94.5781416	A1YMF916E6DM6Z
4	Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence	Undefined, US	36.7014631	-118.755997	A2UM9PEWDWXFC3
